accession,component,length_bp
XM_039586263.2,Culex_mRNA,7884
XM_039586262.2,Culex_mRNA,7903
XM_039586261.2,Culex_mRNA,8210
XM_039586260.2,Culex_mRNA,7921
XM_039586258.2,Culex_mRNA,7925
XM_039595418.2,Culex_mRNA,731
XM_052711113.1,Culex_mRNA,4580
XM_052711112.1,Culex_mRNA,4643
XM_052711111.1,Culex_mRNA,4760
XM_052711110.1,Culex_mRNA,3576
XM_052711109.1,Culex_mRNA,3629
XM_052711108.1,Culex_mRNA,3647
XM_039595409.2,Culex_mRNA,3690
XM_039595410.2,Culex_mRNA,3693
XM_039590812.2,Culex_mRNA,618
XM_039580487.2,Culex_mRNA,663
XM_052711106.1,Culex_mRNA,4544
XM_039580483.2,Culex_mRNA,5846
XM_039587348.2,Culex_mRNA,1199
XM_039587345.2,Culex_mRNA,1661
XM_039587347.2,Culex_mRNA,1495
XM_039587346.2,Culex_mRNA,1781
XM_039587360.2,Culex_mRNA,2345
XM_039587359.2,Culex_mRNA,2196
XM_039587366.2,Culex_mRNA,2318
XM_039587365.2,Culex_mRNA,2380
XM_039587364.2,Culex_mRNA,2421
XM_039587362.2,Culex_mRNA,2481
XM_052711105.1,Culex_mRNA,1229
XM_039580560.2,Culex_mRNA,1176
XM_039580582.2,Culex_mRNA,1150
XM_039580559.2,Culex_mRNA,1253
XM_039580557.2,Culex_mRNA,1450
XM_052711104.1,Culex_mRNA,2784
XM_039580556.2,Culex_mRNA,3492
XM_052711103.1,Culex_mRNA,6950
XM_052711102.1,Culex_mRNA,7126
XM_039580552.2,Culex_mRNA,7228
XM_052711101.1,Culex_mRNA,1919
XM_039594109.2,Culex_mRNA,1895
XM_052711100.1,Culex_mRNA,2282
XM_052711099.1,Culex_mRNA,2287
XM_052711098.1,Culex_mRNA,2770
XM_052711097.1,Culex_mRNA,2424
XM_052711096.1,Culex_mRNA,2451
XM_039591571.2,Culex_mRNA,788
XM_039591561.2,Culex_mRNA,1097
XM_039591554.2,Culex_mRNA,914
XM_039591545.2,Culex_mRNA,2772
XM_039591696.2,Culex_mRNA,4039
XM_039591689.2,Culex_mRNA,5954
XM_039584594.2,Culex_mRNA,1720
XM_039584591.2,Culex_mRNA,3776
XM_039584589.2,Culex_mRNA,2240
XM_039584588.2,Culex_mRNA,2174
XM_039591102.2,Culex_mRNA,1188
XM_039591095.2,Culex_mRNA,3898
XM_039591103.2,Culex_mRNA,1054
XM_039591091.2,Culex_mRNA,882
XM_039591094.2,Culex_mRNA,979
XM_052711095.1,Culex_mRNA,1161
XM_052711094.1,Culex_mRNA,1430
XM_052711093.1,Culex_mRNA,1490
XM_039591104.2,Culex_mRNA,1710
XM_039591087.2,Culex_mRNA,1493
XM_039591086.2,Culex_mRNA,1387
XM_039579786.2,Culex_mRNA,1509
XM_039591090.2,Culex_mRNA,1335
XM_039591085.2,Culex_mRNA,1305
XM_039591088.2,Culex_mRNA,1523
XM_039591089.2,Culex_mRNA,1342
XM_039595500.2,Culex_mRNA,2069
XM_039591096.2,Culex_mRNA,3847
XM_039579772.2,Culex_mRNA,1997
XM_039591100.2,Culex_mRNA,2213
XM_039591081.2,Culex_mRNA,3438
XM_039591080.2,Culex_mRNA,1691
XM_039591079.2,Culex_mRNA,2364
XM_039591084.2,Culex_mRNA,2305
XM_039591093.2,Culex_mRNA,4451
XM_039591082.2,Culex_mRNA,4623
XM_039591092.2,Culex_mRNA,6540
XM_039591097.2,Culex_mRNA,7005
XM_039591589.2,Culex_mRNA,5709
XM_052711092.1,Culex_mRNA,5805
XM_039591588.2,Culex_mRNA,4968
XM_052711091.1,Culex_mRNA,5877
XM_039596360.2,Culex_mRNA,1651
XM_052711090.1,Culex_mRNA,1592
XM_052711089.1,Culex_mRNA,2248
XM_052711088.1,Culex_mRNA,2306
XM_039596357.2,Culex_mRNA,2194
XM_039596359.2,Culex_mRNA,2502
XM_039596355.2,Culex_mRNA,2324
XM_039591586.2,Culex_mRNA,4105
XM_039591585.2,Culex_mRNA,3145
XM_039591583.2,Culex_mRNA,4582
XM_039591582.2,Culex_mRNA,4468
XM_039596352.2,Culex_mRNA,2318
XM_039596351.2,Culex_mRNA,2344
XM_052711087.1,Culex_mRNA,2038
XM_039581593.2,Culex_mRNA,2257
XM_052711086.1,Culex_mRNA,7749
XM_039585845.2,Culex_mRNA,531
XM_039577328.2,Culex_mRNA,590
XM_039585144.2,Culex_mRNA,1165
XM_039585133.2,Culex_mRNA,6748
XM_039585117.2,Culex_mRNA,6750
XM_039585108.2,Culex_mRNA,6760
XM_039585102.2,Culex_mRNA,6771
XM_039582226.2,Culex_mRNA,8219
XM_039582225.2,Culex_mRNA,8612
XM_039582223.2,Culex_mRNA,8843
XM_039582222.2,Culex_mRNA,8900
XM_039582221.2,Culex_mRNA,9038
XM_039582220.2,Culex_mRNA,9077
XM_039582219.2,Culex_mRNA,9237
XM_039582217.2,Culex_mRNA,9307
XM_039594351.2,Culex_mRNA,5273
XM_052711085.1,Culex_mRNA,5123
XM_052711084.1,Culex_mRNA,5400
XM_052711083.1,Culex_mRNA,5636
XM_052711082.1,Culex_mRNA,5365
XM_052711081.1,Culex_mRNA,1966
XM_052711080.1,Culex_mRNA,5687
XM_039583990.2,Culex_mRNA,822
XM_039585859.2,Culex_mRNA,5463
XM_039585858.2,Culex_mRNA,5499
XM_039585857.2,Culex_mRNA,5261
XM_039585855.2,Culex_mRNA,5277
XM_039585854.2,Culex_mRNA,5271
XM_039585853.2,Culex_mRNA,5283
XM_039585852.2,Culex_mRNA,5603
XM_039582216.2,Culex_mRNA,914
XM_039582249.2,Culex_mRNA,1387
XM_039582239.2,Culex_mRNA,11532
XM_039576374.2,Culex_mRNA,1174
XM_039576366.2,Culex_mRNA,1169
XM_039574772.2,Culex_mRNA,11605
XM_039574765.2,Culex_mRNA,11644
XM_039585687.2,Culex_mRNA,1299
XM_052711076.1,Culex_mRNA,8117
XM_039585686.2,Culex_mRNA,8767
XM_039581570.2,Culex_mRNA,577
XM_039581575.2,Culex_mRNA,1204
XM_039581574.2,Culex_mRNA,1932
XM_039581573.2,Culex_mRNA,2827
XM_052711074.1,Culex_mRNA,3686
XM_052711073.1,Culex_mRNA,3742
XM_039581531.2,Culex_mRNA,1971
XM_039581568.2,Culex_mRNA,2787
XM_052711072.1,Culex_mRNA,2918
XM_039581567.2,Culex_mRNA,3036
XM_039581566.2,Culex_mRNA,3505
XM_039581563.2,Culex_mRNA,3127
XM_052711071.1,Culex_mRNA,3467
XM_052711070.1,Culex_mRNA,3467
XM_039581562.2,Culex_mRNA,3467
XM_039581561.2,Culex_mRNA,3494
XM_039581560.2,Culex_mRNA,3494
XM_039581559.2,Culex_mRNA,3494
XM_052711069.1,Culex_mRNA,3365
XM_039581557.2,Culex_mRNA,3374
XM_039581556.2,Culex_mRNA,3424
XM_039581555.2,Culex_mRNA,3430
XM_039581554.2,Culex_mRNA,3433
XM_039581553.2,Culex_mRNA,3439
XM_039581552.2,Culex_mRNA,3451
XM_039581551.2,Culex_mRNA,3451
XM_039581550.2,Culex_mRNA,3479
XM_039581549.2,Culex_mRNA,3093
XM_039581548.2,Culex_mRNA,3478
XM_039581547.2,Culex_mRNA,3223
XM_039581546.2,Culex_mRNA,4132
XM_039581544.2,Culex_mRNA,3959
XM_039581543.2,Culex_mRNA,3981
XM_039581542.2,Culex_mRNA,3986
XM_039581541.2,Culex_mRNA,3999
XM_039581540.2,Culex_mRNA,3598
XM_039581538.2,Culex_mRNA,3666
XM_039581539.2,Culex_mRNA,3978
XM_039581537.2,Culex_mRNA,4008
XM_039581565.2,Culex_mRNA,6784
XM_052711066.1,Culex_mRNA,5624
XM_052711065.1,Culex_mRNA,6466
XM_052711064.1,Culex_mRNA,8069
XM_039573475.2,Culex_mRNA,1833
XM_039575488.2,Culex_mRNA,1050
XM_039575448.2,Culex_mRNA,3231
XM_039575487.2,Culex_mRNA,6233
XM_039575486.2,Culex_mRNA,6329
XM_039575483.2,Culex_mRNA,4862
XM_039575482.2,Culex_mRNA,6260
XM_039575481.2,Culex_mRNA,6263
XM_039575480.2,Culex_mRNA,6290
XM_039575479.2,Culex_mRNA,6356
XM_039575478.2,Culex_mRNA,6360
XM_039575477.2,Culex_mRNA,6378
XM_039575476.2,Culex_mRNA,6387
XM_039587638.2,Culex_mRNA,1467
XM_039587627.2,Culex_mRNA,1230
XM_039587620.2,Culex_mRNA,1450
XM_039587609.2,Culex_mRNA,1633
XM_039587596.2,Culex_mRNA,2956
XM_039587583.2,Culex_mRNA,2094
XM_039587573.2,Culex_mRNA,2255
XM_039587561.2,Culex_mRNA,2311
XM_039587551.2,Culex_mRNA,6758
XM_052711063.1,Culex_mRNA,7147
XM_052711062.1,Culex_mRNA,7204
XM_052711061.1,Culex_mRNA,7207
XM_039575847.2,Culex_mRNA,6679
XM_039575845.2,Culex_mRNA,6689
XM_039575844.2,Culex_mRNA,6742
XM_039575843.2,Culex_mRNA,7162
XM_039575842.2,Culex_mRNA,7339
XM_039575841.2,Culex_mRNA,7441
XM_039575840.2,Culex_mRNA,7852
XM_039575839.2,Culex_mRNA,7906
XM_039575838.2,Culex_mRNA,8008
XM_039587165.2,Culex_mRNA,1773
XM_052711060.1,Culex_mRNA,2458
XM_039578290.2,Culex_mRNA,2564
XM_052711059.1,Culex_mRNA,2870
XM_052711058.1,Culex_mRNA,2970
XM_039578317.2,Culex_mRNA,4628
XM_039588544.2,Culex_mRNA,1998
XM_039588543.2,Culex_mRNA,1688
XM_039588542.2,Culex_mRNA,2136
XM_039588541.2,Culex_mRNA,2053
XM_039588540.2,Culex_mRNA,6622
XM_039588539.2,Culex_mRNA,5896
XM_039588538.2,Culex_mRNA,5939
XM_039588537.2,Culex_mRNA,5350
XM_039577375.2,Culex_mRNA,1495
XM_052711057.1,Culex_mRNA,802
XM_052711056.1,Culex_mRNA,916
XM_052711055.1,Culex_mRNA,804
XM_039580150.2,Culex_mRNA,1324
XM_039580149.2,Culex_mRNA,788
XM_052711054.1,Culex_mRNA,2973
XM_052711053.1,Culex_mRNA,3138
XM_052711052.1,Culex_mRNA,3345
XM_052711051.1,Culex_mRNA,2515
XM_039580147.2,Culex_mRNA,2539
XM_039580146.2,Culex_mRNA,2612
XM_039580145.2,Culex_mRNA,3037
XM_052711050.1,Culex_mRNA,3534
XM_039580144.2,Culex_mRNA,3980
XM_039580143.2,Culex_mRNA,3950
XM_039580142.2,Culex_mRNA,4057
XM_039580141.2,Culex_mRNA,4068
XM_039583350.2,Culex_mRNA,5667
XM_039586126.2,Culex_mRNA,3594
XM_039586125.2,Culex_mRNA,2865
XM_039586124.2,Culex_mRNA,1736
XM_039586130.2,Culex_mRNA,1529
XM_052711049.1,Culex_mRNA,2323
XM_039586129.2,Culex_mRNA,2998
XM_039586123.2,Culex_mRNA,3546
XM_039586122.2,Culex_mRNA,3606
XM_052711048.1,Culex_mRNA,1791
XM_052711047.1,Culex_mRNA,1308
XM_039580537.2,Culex_mRNA,2525
XM_039580531.2,Culex_mRNA,3715
XM_039580530.2,Culex_mRNA,3723
XM_052711046.1,Culex_mRNA,3328
XM_039580529.2,Culex_mRNA,3386
XM_039580527.2,Culex_mRNA,3775
XM_039580528.2,Culex_mRNA,3730
XM_039580526.2,Culex_mRNA,3682
XM_039580525.2,Culex_mRNA,3894
XM_039584437.2,Culex_mRNA,636
XM_039579348.2,Culex_mRNA,1573
XM_039579346.2,Culex_mRNA,1674
XM_052711044.1,Culex_mRNA,4840
XM_039594103.2,Culex_mRNA,549
XM_039580957.2,Culex_mRNA,1286
XM_039585319.2,Culex_mRNA,653
XM_039585320.2,Culex_mRNA,1221
XM_039585321.2,Culex_mRNA,6787
XM_039585322.2,Culex_mRNA,2731
XM_039582519.2,Culex_mRNA,683
XM_039582518.2,Culex_mRNA,1661
XM_039582517.2,Culex_mRNA,1559
XM_039582516.2,Culex_mRNA,1652
XM_039582514.2,Culex_mRNA,2024
XM_039582501.2,Culex_mRNA,2050
XM_039582513.2,Culex_mRNA,2788
XM_039582512.2,Culex_mRNA,3737
XM_039582511.2,Culex_mRNA,3745
XM_039582509.2,Culex_mRNA,3045
XM_039582508.2,Culex_mRNA,5228
XM_039582507.2,Culex_mRNA,5288
XM_039574231.2,Culex_mRNA,5823
XM_052711041.1,Culex_mRNA,6165
XM_039574229.2,Culex_mRNA,6174
XM_039574227.2,Culex_mRNA,6270
XM_039574226.2,Culex_mRNA,6279
XM_039574225.2,Culex_mRNA,6294
XM_039574223.2,Culex_mRNA,6306
XM_052711040.1,Culex_mRNA,6619
XM_039574221.2,Culex_mRNA,6585
XM_052711039.1,Culex_mRNA,1527
XM_052711038.1,Culex_mRNA,4326
XM_039584336.2,Culex_mRNA,4353
XM_039585177.2,Culex_mRNA,4279
XM_039583970.2,Culex_mRNA,4443
XM_039583955.2,Culex_mRNA,4443
XM_039590400.2,Culex_mRNA,7658
XM_039590396.2,Culex_mRNA,8127
XM_039590372.2,Culex_mRNA,9647
XM_039590363.2,Culex_mRNA,9650
XM_052711036.1,Culex_mRNA,9881
XM_039590390.2,Culex_mRNA,10137
XM_039585290.2,Culex_mRNA,4509
XM_039575692.2,Culex_mRNA,1104
XM_039596547.2,Culex_mRNA,7841
XM_052711033.1,Culex_mRNA,6506
XM_052711032.1,Culex_mRNA,6606
XM_052711031.1,Culex_mRNA,5786
XM_052711030.1,Culex_mRNA,5868
XM_052711029.1,Culex_mRNA,6063
XM_052711028.1,Culex_mRNA,6022
XM_052711027.1,Culex_mRNA,5885
XM_052711026.1,Culex_mRNA,5616
XM_052711025.1,Culex_mRNA,5693
XM_052711024.1,Culex_mRNA,5729
XM_052711023.1,Culex_mRNA,6300
XM_052711022.1,Culex_mRNA,6106
XM_039586116.2,Culex_mRNA,977
XM_039579753.2,Culex_mRNA,1042
XM_039586869.2,Culex_mRNA,8940
XM_039586868.2,Culex_mRNA,8812
XM_039586865.2,Culex_mRNA,3986
XM_039586864.2,Culex_mRNA,3866
XM_039586867.2,Culex_mRNA,8811
XM_039586866.2,Culex_mRNA,4015
XM_039586863.2,Culex_mRNA,4014
XM_039585239.2,Culex_mRNA,6050
XM_039585230.2,Culex_mRNA,6695
XM_039584865.2,Culex_mRNA,604
XM_039574344.2,Culex_mRNA,11219
XM_039574343.2,Culex_mRNA,11402
XM_039574342.2,Culex_mRNA,12016
XM_039574341.2,Culex_mRNA,12066
XM_039574340.2,Culex_mRNA,12242
XM_039574339.2,Culex_mRNA,12285
XM_039574337.2,Culex_mRNA,12048
XM_039574336.2,Culex_mRNA,12008
XM_052711021.1,Culex_mRNA,5872
XM_052711020.1,Culex_mRNA,5943
XM_052711019.1,Culex_mRNA,5487
XM_039596210.2,Culex_mRNA,5520
XM_052711018.1,Culex_mRNA,6030
XM_052711017.1,Culex_mRNA,5758
XR_014846105.1,Culicidae_rRNA,1977
XR_014846122.1,Culicidae_rRNA,4048
XR_014846121.1,Culicidae_rRNA,1977
XR_014846118.1,Culicidae_rRNA,1977
XR_014846115.1,Culicidae_rRNA,1977
XR_014846111.1,Culicidae_rRNA,4047
XR_014846110.1,Culicidae_rRNA,4047
XR_014846109.1,Culicidae_rRNA,4048
XR_014846108.1,Culicidae_rRNA,1977
XR_014846107.1,Culicidae_rRNA,1976
XR_014486774.1,Culicidae_rRNA,4111
XR_014486773.1,Culicidae_rRNA,2004
XR_014486771.1,Culicidae_rRNA,4111
XR_014486770.1,Culicidae_rRNA,2004
XR_014486768.1,Culicidae_rRNA,2004
XR_014486766.1,Culicidae_rRNA,2004
XR_014486759.1,Culicidae_rRNA,2004
XR_014486757.1,Culicidae_rRNA,2004
XR_014486750.1,Culicidae_rRNA,4110
XR_014486749.1,Culicidae_rRNA,2004
XR_014486745.1,Culicidae_rRNA,4110
XR_014486744.1,Culicidae_rRNA,2004
XR_014486742.1,Culicidae_rRNA,4111
XR_014486741.1,Culicidae_rRNA,2004
XR_014486739.1,Culicidae_rRNA,2004
XR_014486736.1,Culicidae_rRNA,2004
XR_014486735.1,Culicidae_rRNA,2004
XR_014486732.1,Culicidae_rRNA,2004
XR_014486731.1,Culicidae_rRNA,2004
XR_014486729.1,Culicidae_rRNA,1994
XR_014486728.1,Culicidae_rRNA,2003
XR_014486726.1,Culicidae_rRNA,4111
XR_014486724.1,Culicidae_rRNA,4111
XR_014486723.1,Culicidae_rRNA,2004
XR_014486719.1,Culicidae_rRNA,2004
XR_014486717.1,Culicidae_rRNA,2004
XR_014486716.1,Culicidae_rRNA,2004
XR_014486714.1,Culicidae_rRNA,4111
XR_014486712.1,Culicidae_rRNA,4111
XR_014486711.1,Culicidae_rRNA,2004
XR_014486709.1,Culicidae_rRNA,2004
XR_014486707.1,Culicidae_rRNA,4111
XR_014486705.1,Culicidae_rRNA,2004
XR_014486703.1,Culicidae_rRNA,4111
XR_014486701.1,Culicidae_rRNA,2005
XR_014486700.1,Culicidae_rRNA,2004
XR_014486698.1,Culicidae_rRNA,4111
XR_014486696.1,Culicidae_rRNA,2004
XR_014486694.1,Culicidae_rRNA,4111
XR_014486692.1,Culicidae_rRNA,2004
XR_014486691.1,Culicidae_rRNA,2004
XR_014486689.1,Culicidae_rRNA,4111
XR_014486687.1,Culicidae_rRNA,2004
XR_014486686.1,Culicidae_rRNA,2004
XR_014486683.1,Culicidae_rRNA,4268
XR_014486681.1,Culicidae_rRNA,2004
XR_014486679.1,Culicidae_rRNA,4111
XR_014486677.1,Culicidae_rRNA,2004
XR_014486674.1,Culicidae_rRNA,2004
XR_014486673.1,Culicidae_rRNA,2004
XR_014486672.1,Culicidae_rRNA,2004
XR_014486671.1,Culicidae_rRNA,4108
XR_014486670.1,Culicidae_rRNA,4111
XR_014486669.1,Culicidae_rRNA,4111
XR_014486667.1,Culicidae_rRNA,2004
XR_014486664.1,Culicidae_rRNA,2004
XR_014486662.1,Culicidae_rRNA,2004
XR_014486660.1,Culicidae_rRNA,2004
XR_014486659.1,Culicidae_rRNA,2004
XR_014486656.1,Culicidae_rRNA,4110
XR_014486655.1,Culicidae_rRNA,4110
XR_014486654.1,Culicidae_rRNA,2004
XR_014486652.1,Culicidae_rRNA,2004
XR_014486648.1,Culicidae_rRNA,2004
XR_014486646.1,Culicidae_rRNA,4107
XR_014486645.1,Culicidae_rRNA,4110
XR_014486643.1,Culicidae_rRNA,2004
XR_014486642.1,Culicidae_rRNA,2004
XR_014486640.1,Culicidae_rRNA,4111
XR_014486638.1,Culicidae_rRNA,2004
XR_014486634.1,Culicidae_rRNA,4111
XR_014486633.1,Culicidae_rRNA,4111
XR_014486632.1,Culicidae_rRNA,2004
XR_014486630.1,Culicidae_rRNA,2004
XR_014486628.1,Culicidae_rRNA,4112
XR_014486626.1,Culicidae_rRNA,2004
XR_014486625.1,Culicidae_rRNA,2004
XR_014486622.1,Culicidae_rRNA,4111
XR_014486621.1,Culicidae_rRNA,2004
XR_014486619.1,Culicidae_rRNA,2004
XR_014486618.1,Culicidae_rRNA,2004
XR_014486616.1,Culicidae_rRNA,4111
XR_014486602.1,Culicidae_rRNA,2000
XR_014486599.1,Culicidae_rRNA,4111
XR_014486598.1,Culicidae_rRNA,2004
XR_014486595.1,Culicidae_rRNA,4111
XR_014486593.1,Culicidae_rRNA,2004
XR_014486591.1,Culicidae_rRNA,2004
XR_014486590.1,Culicidae_rRNA,2004
XR_014486587.1,Culicidae_rRNA,4111
XR_014486585.1,Culicidae_rRNA,4111
XR_014486584.1,Culicidae_rRNA,2004
XR_014486582.1,Culicidae_rRNA,4111
XR_014486581.1,Culicidae_rRNA,2004
XR_014486579.1,Culicidae_rRNA,2004
XR_014486578.1,Culicidae_rRNA,2004
XR_014486576.1,Culicidae_rRNA,4111
XR_014486575.1,Culicidae_rRNA,4111
XR_014486572.1,Culicidae_rRNA,2004
XR_014486569.1,Culicidae_rRNA,4111
XR_014486567.1,Culicidae_rRNA,4111
XR_014486566.1,Culicidae_rRNA,4111
XR_014486565.1,Culicidae_rRNA,4111
XR_014486564.1,Culicidae_rRNA,2004
XR_014486563.1,Culicidae_rRNA,2004
XR_014486561.1,Culicidae_rRNA,2004
XR_014486560.1,Culicidae_rRNA,2004
XR_014486557.1,Culicidae_rRNA,4111
XR_014486551.1,Culicidae_rRNA,4111
XR_014486550.1,Culicidae_rRNA,4111
XR_014486549.1,Culicidae_rRNA,4111
XR_014486547.1,Culicidae_rRNA,2004
XR_014486546.1,Culicidae_rRNA,2004
XR_014486545.1,Culicidae_rRNA,2004
XR_014486544.1,Culicidae_rRNA,2004
XR_014486543.1,Culicidae_rRNA,2004
XR_014486542.1,Culicidae_rRNA,2004
XR_014486539.1,Culicidae_rRNA,2004
XR_014486537.1,Culicidae_rRNA,4122
XR_014486532.1,Culicidae_rRNA,2004
XR_014486529.1,Culicidae_rRNA,4111
XR_014486528.1,Culicidae_rRNA,4111
XR_014486527.1,Culicidae_rRNA,4111
XR_014486525.1,Culicidae_rRNA,2004
XR_014486521.1,Culicidae_rRNA,4128
XR_014486520.1,Culicidae_rRNA,4111
XR_014486519.1,Culicidae_rRNA,4111
XR_014486517.1,Culicidae_rRNA,4111
XR_014486515.1,Culicidae_rRNA,2004
XR_014486514.1,Culicidae_rRNA,2004
XR_014486513.1,Culicidae_rRNA,2004
XR_014486508.1,Culicidae_rRNA,4111
XR_014486503.1,Culicidae_rRNA,2004
XR_014486502.1,Culicidae_rRNA,2004
XR_014486499.1,Culicidae_rRNA,4110
XR_014486498.1,Culicidae_rRNA,4110
XR_014486497.1,Culicidae_rRNA,2004
XR_014486492.1,Culicidae_rRNA,4093
XR_014486491.1,Culicidae_rRNA,4111
XR_014486490.1,Culicidae_rRNA,4111
XR_014486489.1,Culicidae_rRNA,4110
XR_014486487.1,Culicidae_rRNA,2004
XR_014486486.1,Culicidae_rRNA,2004
XR_014486485.1,Culicidae_rRNA,2004
XR_014486484.1,Culicidae_rRNA,2004
XR_014486483.1,Culicidae_rRNA,2004
XR_014486482.1,Culicidae_rRNA,2004
XR_014486459.1,Culicidae_rRNA,4111
XR_014486458.1,Culicidae_rRNA,4111
XR_014486456.1,Culicidae_rRNA,4110
XR_014486455.1,Culicidae_rRNA,4110
XR_014486454.1,Culicidae_rRNA,4111
XR_014486453.1,Culicidae_rRNA,4111
XR_014486452.1,Culicidae_rRNA,4111
XR_014486450.1,Culicidae_rRNA,2004
XR_014486449.1,Culicidae_rRNA,2004
XR_014486448.1,Culicidae_rRNA,2004
XR_014486447.1,Culicidae_rRNA,2004
XR_014486446.1,Culicidae_rRNA,2004
XR_014486445.1,Culicidae_rRNA,2004
XR_014486443.1,Culicidae_rRNA,2004
XR_014486442.1,Culicidae_rRNA,2004
XR_014486441.1,Culicidae_rRNA,2004
XR_014486440.1,Culicidae_rRNA,2004
XR_014486420.1,Culicidae_rRNA,2004
XR_014486419.1,Culicidae_rRNA,2004
XR_014486417.1,Culicidae_rRNA,4111
XR_014486416.1,Culicidae_rRNA,4111
XR_014486412.1,Culicidae_rRNA,4111
XR_014486411.1,Culicidae_rRNA,4110
XR_014486410.1,Culicidae_rRNA,4111
XR_014486407.1,Culicidae_rRNA,2004
XR_014486406.1,Culicidae_rRNA,2004
XR_014486405.1,Culicidae_rRNA,2004
XR_014486404.1,Culicidae_rRNA,2004
XR_014486393.1,Culicidae_rRNA,4111
XR_014486392.1,Culicidae_rRNA,4111
XR_014486391.1,Culicidae_rRNA,4111
XR_014486389.1,Culicidae_rRNA,4111
XR_014486388.1,Culicidae_rRNA,4111
XR_014486386.1,Culicidae_rRNA,2004
XR_014486385.1,Culicidae_rRNA,2004
XR_014486384.1,Culicidae_rRNA,2004
XR_014486383.1,Culicidae_rRNA,2004
XR_014486381.1,Culicidae_rRNA,2004
XR_014486380.1,Culicidae_rRNA,2004
XR_014486379.1,Culicidae_rRNA,2004
XR_014486378.1,Culicidae_rRNA,2004
XR_007608491.1,Culicidae_rRNA,4020
XR_007608012.1,Culicidae_rRNA,4020
XR_007608011.1,Culicidae_rRNA,4020
XR_007608010.1,Culicidae_rRNA,4020
XR_007608009.1,Culicidae_rRNA,4020
XR_007608006.1,Culicidae_rRNA,4020
XR_007608005.1,Culicidae_rRNA,4020
XR_007608004.1,Culicidae_rRNA,3879
XR_007608003.1,Culicidae_rRNA,3879
XR_007608002.1,Culicidae_rRNA,3879
XR_007608001.1,Culicidae_rRNA,3879
XR_007608000.1,Culicidae_rRNA,3879
XR_007609109.1,Culicidae_rRNA,4021
XR_007609108.1,Culicidae_rRNA,4020
XR_007609107.1,Culicidae_rRNA,4020
XR_007609106.1,Culicidae_rRNA,4020
XR_007609105.1,Culicidae_rRNA,4020
NZ_RWIK01000020.1,Wolbachia_genes,7919
NZ_JAFEVH010000087.1,Wolbachia_genes,2747
NZ_JAFEVH010000086.1,Wolbachia_genes,2847
NZ_JAFEVH010000085.1,Wolbachia_genes,2858
NZ_JAFEVH010000084.1,Wolbachia_genes,3293
NZ_JAFEVH010000083.1,Wolbachia_genes,3590
NZ_JAFEVH010000082.1,Wolbachia_genes,3768
NZ_JAFEVH010000081.1,Wolbachia_genes,3850
NZ_JAFEVH010000080.1,Wolbachia_genes,3857
NZ_JAFEVH010000079.1,Wolbachia_genes,3860
NZ_JAFEVH010000078.1,Wolbachia_genes,4143
NZ_JAFEVH010000077.1,Wolbachia_genes,4170
NZ_JAFEVH010000076.1,Wolbachia_genes,4306
NZ_JAFEVH010000075.1,Wolbachia_genes,4398
NZ_JAFEVH010000074.1,Wolbachia_genes,4432
NZ_JAFEVH010000073.1,Wolbachia_genes,4506
NZ_JAFEVH010000072.1,Wolbachia_genes,4722
NZ_JAFEVH010000071.1,Wolbachia_genes,4948
NZ_JAFEVH010000070.1,Wolbachia_genes,4972
NZ_JAFEVH010000069.1,Wolbachia_genes,5067
NZ_JAFEVH010000068.1,Wolbachia_genes,5082
NZ_JAFEVH010000067.1,Wolbachia_genes,5157
NZ_JAFEVH010000066.1,Wolbachia_genes,5311
NZ_JAFEVH010000065.1,Wolbachia_genes,5464
NZ_JAFEVH010000064.1,Wolbachia_genes,5547
NZ_JAFEVH010000063.1,Wolbachia_genes,5554
NZ_JAFEVH010000062.1,Wolbachia_genes,5559
NZ_JAFEVH010000061.1,Wolbachia_genes,5594
NZ_JAFEVH010000060.1,Wolbachia_genes,5658
NZ_JAFEVH010000059.1,Wolbachia_genes,5791
NZ_JAFEVH010000058.1,Wolbachia_genes,5951
NZ_JAFEVH010000057.1,Wolbachia_genes,6286
NZ_JAFEVH010000056.1,Wolbachia_genes,6533
NZ_JAFEVH010000055.1,Wolbachia_genes,6566
NZ_JAFEVH010000054.1,Wolbachia_genes,6639
NZ_JAFEVH010000053.1,Wolbachia_genes,6645
NZ_JAFEVH010000052.1,Wolbachia_genes,6683
NZ_JAFEVH010000051.1,Wolbachia_genes,6967
NZ_JAFEVH010000050.1,Wolbachia_genes,7087
NZ_JAFEVH010000049.1,Wolbachia_genes,7321
NZ_JAFEVH010000048.1,Wolbachia_genes,7348
NZ_JAFEVH010000047.1,Wolbachia_genes,7349
NZ_JAFEVH010000046.1,Wolbachia_genes,7402
NZ_JAFEVH010000045.1,Wolbachia_genes,7560
NZ_JAFEVH010000044.1,Wolbachia_genes,7635
NZ_JAFEVH010000043.1,Wolbachia_genes,7844
NZ_JAFEVG010000057.1,Wolbachia_genes,2645
NZ_JAFEVG010000056.1,Wolbachia_genes,2728
NZ_JAFEVG010000055.1,Wolbachia_genes,2759
NZ_JAFEVG010000054.1,Wolbachia_genes,2788
NZ_JAFEVG010000053.1,Wolbachia_genes,2818
NZ_JAFEVG010000052.1,Wolbachia_genes,2837
NZ_JAFEVG010000051.1,Wolbachia_genes,2838
NZ_JAFEVG010000050.1,Wolbachia_genes,2977
